County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Prince George's,80077,Family Childcare,Brenda Hawkins,Upper Marlboro,20774,Yes,3,Active,3,2,Jul 19 2022,Jul 19 2023,May 13 2015,,,No Additional Staff
Allegany,80016,Center,YMCA School Age Child Care Center,Cumberland,21502,Yes,3,Active,3,2,Mar 03 2022,Mar 03 2023,Jul 22 2014,,,
Allegany,79882,LOC,Lighthouse Christian Day Care,Cumberland,21502,Yes,1,Active,1,3,Jan 10 2022,Jan 10 2023,Jan 17 2015,,,
Baltimore,79794,Center,Play and Learn at Hunt Valley,Hunt Valley,21031,Yes,3,Active,3,3,Oct 14 2022,Oct 14 2023,Dec 03 2012,,,
Montgomery,79723,Family Childcare,Claudia Mikeliunas,Silver Spring,20902,Yes,1,Active,1,2,Jul 05 2022,Jul 05 2023,Sep 28 2013,,,NAFCC  | No Additional Staff
Prince George's,79662,Family Childcare,Jamelle Martin,Clinton,20735,Yes,1,Active,1,2,Jun 23 2022,Jun 23 2023,Nov 15 2013,,,
Baltimore,79551,Center,Creative Kids Child Care Center,Baltimore,21227,Yes,1,Active,1,3,May 24 2022,May 24 2023,Dec 22 2014,,,
Carroll,79504,Family Childcare,Jennifer Farrow,Taneytown,21787,Yes,1,Active,1,2,Sep 01 2022,Sep 01 2023,Oct 03 2014,,,
Montgomery,78905,Family Childcare,Khadra Ayorinde,Rockville,20851,Yes,5,Active,5,2,Sep 19 2022,Sep 19 2023,Jul 08 2013,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Charles,258211,Family Childcare,Lisa Hogan,Waldorf,20603,Yes,1,Active,1,2,Jan 24 2022,Jan 24 2023,Feb 23 2018,,,
