County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Montgomery,109128,Center,Montgomery Child Care Beverly Farms @ Ivymount,Potomac,20854,Yes,3,Yes,3,No,3,Dec 07 2018,Oct 16 2020,0,,,,
Frederick,109105,Center,KinderCare- 301718,Frederick,21703,Yes,4,Yes,4,Yes,3,Dec 04 2018,Nov 13 2020,0,,Accredited Program 2020-09-20,National Association for the Education of Young Children (NAEYC) 2020-09-20,National Association for the Education of Young Children (NAEYC)
Montgomery,109089,Center,"KidsCo, Inc. at Flower Hill Elementary School",Gaithersburg,20879,Yes,3,Yes,3,Yes,1,Oct 25 2018,Mar 25 2020,0,,,,
Montgomery,109069,Center,Wonders Child Care at  Bethesda,Bethesda,20814,Yes,1,Yes,1,Yes,1,Oct 25 2018,Aug 06 2020,0,,,,
Anne Arundel,109054,Center,Little Queens & Kings CCC,Severn,21144,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 07 2020,0,,,,
Charles,109044,Center,Our Ladys Little Christians,Waldorf,20602,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jul 16 2020,0,,,,
Anne Arundel,108851,Center,YMCA at Glen Burnie Park ES,Glen Burnie,21061,Yes,1,Yes,1,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,
Anne Arundel,108843,Center,YMCA at Millersville ES,Millersville,21122,Yes,1,Yes,1,Yes,1,Oct 25 2018,Mar 13 2020,0,,,,
Harford,108703,Registered Family Home,Donna DeBord,Bel Air,21014,Yes,1,Yes,1,Yes,2,Dec 07 2018,Nov 07 2020,0,,,,
Harford,108649,Center,Monarch Montessori Churchville,Churchville,21028,Yes,5,Yes,5,Yes,3,Nov 30 2018,Nov 19 2020,0,,Accredited Program,Maryland Accreditation (MSDE) 2021-01-31,MSDE
Baltimore City,108635,Registered Family Home,Nakia Jackson,Baltimore,21205,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 04 2020,0,,,,
Baltimore,108511,Center,Liberty Road Recreation & Parks AM/PM,Owings Mills,21117,Yes,1,Yes,1,No,1,Oct 25 2018,Apr 16 2020,2,Sep 24 2019,,,
Carroll,108481,Registered Family Home,Margaret Knatz,Hampstead,21074,Yes,2,Yes,2,Yes,2,Oct 25 2018,May 28 2020,0,,,,
Prince George's,108398,Registered Family Home,Annie Burroughs,Temple Hills,20748,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 30 2020,0,,,,
Baltimore,108347,Registered Family Home,Deena Gutridge,Baltimore,21221,Yes,3,Yes,3,Yes,2,Oct 25 2018,Jul 23 2020,0,,,,
Baltimore,108267,Registered Family Home,Elaine Purvines,Lutherville,21093,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 11 2020,0,,,,
Montgomery,108205,Registered Family Home,Alina Benavides,Rockville,20850,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 13 2020,0,,,,
Charles,108173,Registered Family Home,Claressa Williams,Waldorf,20601,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 11 2020,0,,,,
Washington,108142,Center,YMCA Child Care Center,Hagerstown,21742,Yes,3,Yes,3,No,3,Oct 25 2018,Aug 08 2020,0,,,,
Harford,107988,Registered Family Home,Laurie Rossi,Havre De Grace,21078,Yes,1,Yes,1,Yes,2,Oct 25 2018,Apr 11 2020,0,,,,
Montgomery,107954,Registered Family Home,Carolyn Smith,Gaithersburg,20879,Yes,1,Yes,1,No,2,Jan 02 2019,Dec 17 2020,0,,,,
Prince George's,107926,Registered Family Home,Barbara Chase,District Heights,20747,Yes,1,Yes,1,No,2,Dec 19 2018,Nov 18 2020,0,,,,
Anne Arundel,107855,Center,Keenan Christian Learning Center,Pasadena,21122,Yes,1,Yes,1,No,1,Oct 25 2018,Jan 05 2020,0,,,,
Baltimore,107798,Center,Unique Children's Learning Center,Randallstown,21133,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 12 2020,0,,,,
Washington,107754,Registered Family Home,Debbie Hartman,Hagerstown,21742,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 08 2020,0,,,,
Talbot,107598,Registered Family Home,Danielle Tapp-Hynson,Easton,21601,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 12 2020,0,,,,
Montgomery,107459,Center,Bar-T @ Mill Creek E.S.,Rockville,20855,Yes,3,Yes,3,No,1,Oct 25 2018,Apr 08 2020,0,,,,
Baltimore City,107440,Registered Family Home,In Katherine's Care,Baltimore,21217,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 23 2020,0,,,,
Baltimore City,107380,Registered Family Home,Patricia Edmondson-Lee,Baltimore,21217,Yes,2,Yes,2,No,2,Dec 05 2018,Sep 30 2020,0,,,,
Wicomico,107288,Registered Family Home,Sharon Mills,Salisbury,21801,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 16 2020,0,,,,
Montgomery,107171,Center,MCCA Ashburton Wyngate,Bethesda,20817,Yes,0,Yes,1,Yes,1,Jan 05 2019,Dec 12 2020,0,,,,Council on Accreditation / After-School Accreditation (COA/ASA)
Harford,107165,Center,Children's Christian Center,Bel Air,21014,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 28 2020,0,,,,
Caroline,107072,Registered Family Home,Tina Lane,Preston,21655,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 25 2020,0,,,,
Anne Arundel,107039,Registered Family Home,Sandra Williams,Millersville,21108,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 03 2020,0,,,,
Baltimore,106991,Registered Family Home,Patricia Coby,Baltimore,21244,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 31 2020,0,,,,
Baltimore,106964,Registered Family Home,Vannessa Carver,Cockeysville,21030,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 28 2020,0,,,,
Prince George's,106903,Registered Family Home,Karuna Rozario,Berwyn Heights,20740,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 13 2020,0,,,,
Montgomery,106799,Registered Family Home,Angela Moser-Bookhultz,Boyds,20841,Yes,1,Yes,1,No,2,Oct 25 2018,May 22 2020,0,,,,
Prince George's,106729,Registered Family Home,Kadijah Hughes,Laurel,20708,Yes,3,Yes,3,Yes,2,Sep 30 2019,Sep 30 2020,0,,,,
Prince George's,106684,Center,Capital Child Care,Cheverly,20785,Yes,1,Yes,1,No,3,Oct 25 2018,Jan 31 2020,0,,,,
Montgomery,106537,Registered Family Home,Roqaiya Iqbal,Silver Spring,20910,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 06 2020,0,,,,
Baltimore City,106424,Registered Family Home,Mirdies Parrott,Baltimore,21217,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 25 2020,0,,,,
Baltimore City,106301,Registered Family Home,Eva Wright-Eggleston,Baltimore,21213,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 08 2020,0,,,,
