County,License Number,MSDE Program Type,Program Name,City Name,State Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Prince George's,160504,Public Pre-K,Fort Washington Forest Elementary,Fort Washington,Maryland,20744,Yes,5,Yes,5,Yes,1,Oct 25 2018,Feb 25 2020,0,,,,MSDE
Harford,160501,Registered Family Home,Betty Jo Reese,Edgewood,Maryland,21040,Yes,2,Yes,2,Yes,2,Jan 04 2019,Sep 16 2020,0,,,,
Baltimore,160485,Center,The Goddard School Bare Hills,Baltimore,Maryland,21209,Yes,5,Yes,5,Yes,3,Sep 23 2019,Oct 09 2020,0,,,,MSDE
Montgomery,160480,Center,Montgomery  Child Care Beverly Farms Kid's Klub,Potomac,Maryland,20854,Yes,0,Yes,1,Yes,1,Jan 05 2019,Dec 12 2020,0,,,,Council on Accreditation / After-School Accreditation (COA/ASA)
Prince George's,160461,Registered Family Home,Gale Quispe,Hyattsville,Maryland,20784,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 27 2020,0,,,,
Charles,160456,Registered Family Home,Wanda Howell,Waldorf,Maryland,20602,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 14 2020,0,,,,
Howard,160455,Center,First Presbyterian Church Head Start,Columbia,Maryland,21045,Yes,5,Yes,5,Yes,3,Oct 25 2018,May 13 2020,0,,Accredited Program,,MSDE  | National Association for the Education of Young Children (NAEYC)
Montgomery,160454,Registered Family Home,Jessica Gonzalez,Silver Spring,Maryland,20906,Yes,1,Yes,1,No,2,Nov 28 2018,Nov 04 2020,0,,,,
Montgomery,160451,Center,Chesterbrook Academy - Germantown,Germantown,Maryland,20874,Yes,1,Yes,1,Yes,3,Oct 25 2018,Aug 06 2020,0,,,,
Harford,160434,Registered Family Home,Deborah Coleman,Edgewood,Maryland,21040,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 21 2020,0,,,,
Baltimore,160433,Center,The Right Start,Reisterstown,Maryland,21136,Yes,1,Yes,1,Yes,3,Oct 25 2018,Apr 23 2020,0,,,,
Talbot,160429,Registered Family Home,Patricia Pittman,Easton,Maryland,21601,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 02 2020,0,,,,
Prince George's,160428,Registered Family Home,Charlene Chambliss,Upper Marlboro,Maryland,20774,Yes,1,Yes,1,No,2,Oct 25 2018,Sep 17 2020,1,Oct 16 2019,,,
Baltimore City,160384,Registered Family Home,Nicole Matthews,Baltimore,Maryland,21218,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jan 30 2020,0,,,,
Montgomery,160383,Center,Sandy Ridge Academy,Gaithersburg,Maryland,20877,Yes,2,Yes,2,Yes,3,Oct 25 2018,Apr 23 2020,0,,,,
Prince George's,160376,Center,AlphaBest @ Capitol Heights,Capitol Heights,Maryland,20743,Yes,1,Yes,1,Yes,1,Oct 25 2018,Sep 16 2020,0,,,,
Prince George's,160368,Registered Family Home,Cathy Stanley,Seat Pleasant,Maryland,20743,Yes,0,No,,No,,,Jan 21 2015,0,,,,
Howard,160366,Center,Maryland Montessori Academy DBA Maplelawn Montessori,Jessup,Maryland,20794,Yes,3,Yes,3,Yes,3,Oct 25 2018,Jun 05 2020,0,,,,
Talbot,160365,Registered Family Home,Tamara Rust,Easton,Maryland,21601,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 10 2020,0,,,,
Carroll,160346,Center,Celebree Clubhouse in Hampstead,Hampstead,Maryland,21074,Yes,2,Yes,2,No,1,Oct 25 2018,Jul 07 2020,0,,,,
Baltimore,160323,Registered Family Home,Dana Brown,Baltimore,Maryland,21220,Yes,1,Yes,1,Yes,2,Oct 25 2018,May 28 2020,0,,,,
Calvert,160315,Center,Gateway Early Learning Center LLC,Saint Leonard,Maryland,20685,Yes,2,Yes,1,No,3,Oct 25 2018,Aug 26 2020,1,Jan 09 2019,,,
Cecil,160314,Registered Family Home,Sylvia VanDyke,Colora,Maryland,21917,Yes,2,Yes,2,No,2,Oct 25 2018,Jul 01 2020,0,,,,
Howard,160309,Registered Family Home,Kathleen McTavish,Laurel,Maryland,20723,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 11 2020,0,,,,
Montgomery,160300,Registered Family Home,Maria Hernandez,Montgomery Village,Maryland,20886,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 14 2020,0,,,,
Montgomery,160289,Center,Montgomery College Center for Early Education,Germantown,Maryland,20876,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jun 17 2020,0,,,,National Association for the Education of Young Children (NAEYC)
Baltimore,160288,Registered Family Home,Timeka Paige,Randallstown,Maryland,21133,Yes,3,Yes,3,No,2,Jul 26 2019,Sep 29 2020,1,Jul 07 2019,,,
Montgomery,160283,Center,Quality Time Learning Center,Silver Spring,Maryland,20910,Yes,4,Yes,4,Yes,3,Dec 07 2018,Oct 06 2020,0,,,,MSDE
Prince George's,160258,Center,River of Life Learning Center,Riverdale,Maryland,20737,Yes,1,Yes,1,No,1,Oct 25 2018,May 28 2020,0,,,,
Anne Arundel,160256,Center,Bright Beginning Children's Learning Center of Glen Burnie,Glen Burnie,Maryland,21061,Yes,2,Yes,2,No,3,Jan 04 2019,Dec 15 2020,0,,,,
Baltimore City,160220,Center,Kidzstuff Child Care Center,Baltimore,Maryland,21213,Yes,3,Yes,3,Yes,3,Aug 20 2019,Sep 30 2020,0,,,,
Baltimore City,160217,Center,Dayspring Headstart @ Harford Heights Elementary,Baltimore,Maryland,21213,Yes,2,Yes,2,Yes,3,Nov 28 2018,Feb 08 2020,1,Nov 12 2018,,,MSDE
Baltimore City,160207,Center,Dayspring Headstart @ Gardenville,Baltimore,Maryland,21206,Yes,1,Yes,1,Yes,3,Oct 25 2018,Sep 23 2020,0,,,,
Baltimore City,160204,Center,Fitness Fun & Games @ Hamilton,Baltimore,Maryland,21214,Yes,1,Yes,1,No,1,Oct 25 2018,Mar 28 2020,0,,,,
Montgomery,160202,Center,Top Hat Montessori,Gaithersburg,Maryland,20879,Yes,3,Yes,3,No,3,Oct 25 2018,Feb 05 2020,0,,,,
Howard,160177,Registered Family Home,Sophie Phillips,Ellicott City,Maryland,21043,Yes,2,Yes,2,Yes,2,Oct 25 2018,Apr 25 2020,0,,,,
